2024-09-12 00:44:51 [http-nio-9090-exec-4] DEBUG c.s.s.Controller.ProductController - Received a request to retrive a products
2024-09-12 00:44:51 [http-nio-9090-exec-4] INFO  c.s.s.Controller.ProductController - Products retrieved successfully!!
2024-09-12 00:44:57 [http-nio-9090-exec-5] DEBUG c.s.s.Controller.ProductController - Received a request to retrive a product with Id 60
2024-09-12 00:44:57 [http-nio-9090-exec-5] INFO  c.s.s.Controller.ProductController - Product with ID: 60 retrieved successfully
2024-09-12 00:45:04 [http-nio-9090-exec-6] DEBUG c.s.s.Controller.ProductController - Received a request to retrive a products
2024-09-12 00:45:04 [http-nio-9090-exec-6] INFO  c.s.s.Controller.ProductController - Products retrieved successfully!!
2024-09-12 00:45:06 [http-nio-9090-exec-7] DEBUG c.s.s.Controller.ProductController - Received a request to retrive a products
2024-09-12 00:45:06 [http-nio-9090-exec-7] INFO  c.s.s.Controller.ProductController - Products retrieved successfully!!
2024-09-12 00:45:08 [http-nio-9090-exec-8] DEBUG c.s.s.Controller.ProductController - Received a request to retrive a product with Id 60
2024-09-12 00:45:08 [http-nio-9090-exec-8] INFO  c.s.s.Controller.ProductController - Product with ID: 60 retrieved successfully
2024-09-12 00:45:32 [http-nio-9090-exec-9] DEBUG c.s.s.Controller.ProductController - Received a request to retrive a products
2024-09-12 00:45:32 [http-nio-9090-exec-9] INFO  c.s.s.Controller.ProductController - Products retrieved successfully!!
2024-09-12 00:45:34 [http-nio-9090-exec-10] DEBUG c.s.s.Controller.ProductController - Received a request to retrive a product with Id 60
2024-09-12 00:45:34 [http-nio-9090-exec-10] INFO  c.s.s.Controller.ProductController - Product with ID: 60 retrieved successfully
2024-09-12 13:18:18 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-09-12 13:18:18 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-09-12 13:18:18 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-09-12 21:38:01 [restartedMain] INFO  c.s.s.SpringbootprojectApplication - Starting SpringbootprojectApplication using Java 11.0.24 on remiges with PID 508797 (/home/ifrahj/Documents/javalearning/Ecommerce/ecommercebackend/springbootproject/target/classes started by ifrahj in /home/ifrahj/Documents/javalearning/Ecommerce/ecommercebackend)
2024-09-12 21:38:01 [restartedMain] INFO  c.s.s.SpringbootprojectApplication - No active profile set, falling back to default profiles: default
2024-09-12 21:38:01 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-12 21:38:01 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-12 21:38:01 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-09-12 21:38:01 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 56 ms. Found 5 JPA repository interfaces.
2024-09-12 21:38:02 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2024-09-12 21:38:02 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2024-09-12 21:38:02 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-09-12 21:38:02 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.53]
2024-09-12 21:38:02 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.31] using APR version [1.7.0].
2024-09-12 21:38:02 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2024-09-12 21:38:02 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2024-09-12 21:38:02 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 3.0.2 15 Mar 2022]
2024-09-12 21:38:02 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-09-12 21:38:02 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1114 ms
2024-09-12 21:38:02 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-09-12 21:38:02 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
2024-09-12 21:38:02 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
